x,y,f,m
1.875,12.476820845927903524649473943517657,5.7038609573725875393792607558368457,21
1.890625,13.087640611245499920199526047883529,5.8152528675922831073740752285241755,21
1.90625,13.735637806314187978627488272255317,5.9281696527421357725320986225945468,21
1.921875,14.423410986808840258895401216542483,6.0425999573404215981174483310059513,21
1.9375,15.153758262754490349426910972063266,6.1585317603367806775185572976905518,21
1.953125,15.929693826282712413106602364733585,6.2759524189337967747948334150277283,21
1.96875,16.754465937796257789084736893732886,6.3948487140645122010652464935563134,21
1.984375,17.631576506501560758507316258573811,6.5152068972798407964589222657091345,22
2,18.564802414575552598704291913241017,6.6370127387928529296027773093804203,22
2.015625,19.558218748900721769002681503313675,6.7602515764221269242671163965252632,22
2.03125,20.616224120475319944733160919675956,6.8849083651738169793164368984383017,22
2.046875,21.743568269444812508656584044060708,7.0109677272017754109024410266437445,22
2.0625,22.945382173384689352098883095112447,7.1384140018869555878536066780475823,22
2.078125,24.227210898192016386381823597505468,7.2672312957813526280026968101747416,22
2.09375,25.59504945493417796983148425130103,7.3974035321678272946781569462998265,22
2.109375,27.05538195250337442686315572496212,7.5289144999951961088789023567583981,22
2.125,28.615224365207372447443324860454016,7.6617479019578272540805951725066243,22
2.140625,30.282171266794267895930592902483953,7.7958874015005079849155943389200712,23
2.15625,32.064446918199431114930803575243575,7.9313166685423791650038067582274333,23
2.171875,33.97096113589250616710723018478481,8.0680194237280870790427696903658506,23
2.1875,36.011370411510283069820174326186732,8.2059794810297923554646794365826841,23
2.203125,38.19614480195426002410813958148288,8.3451807885401041764209902149782076,23
2.21875,40.536641162830059317929526111824682,8.4856074673131744910997299664614606,23
2.234375,43.045183357589681115430342844476988,8.6272438481288903911400385822170635,23
2.25,45.735150140653930649278481356367072,8.7700745060731439634629846897086915,23
2.265625,48.621071485863199870321480201967793,8.9140842928453434880861608009492629,23
2.28125,51.718734212635948290767852154053016,9.0592583667224708876973694786567936,23
2.296875,55.045297852105450714358175087671632,9.2055822201269106358199495414988808,24
2.3125,58.619421795261619453512331481595727,9.3530417047628093286393220616397584,24
2.328125,62.461404875868839484165714958370594,9.501623054302720591532813867280835,24
2.34375,66.593338663917845820724491502099644,9.6513129046226093722486711840005271,24
2.359375,71.039275882003046796695791015847059,9.8020983115988111119681363955297065,24
2.375,75.825415508866001696425150317639564,9.9539667664951593186317553647168521,24
2.390625,80.980306303167302444468271353150337,10.106906208982121004957931414134337,24
2.40625,86.535070668308748515811550583353262,10.260905037842341470938880920215717,24
2.421875,92.523650988026646573582405874799291,10.415952119428442858552145013485416,24
2.4375,98.983080794980913172251965813502337,10.572036793949205877763176095293273,24
2.453125,105.95378339343615425069734152739559,10.729148879669367776096891583616454,24
2.46875,113.47990084546684477278545413867217,10.887278675116183417534225391210444,25
2.484375,121.60965655139164234851627669827131,11.046416959392625404489550602212657,25
2.5,130.39575501324692681373153083228991,11.206554990702661278694478096295303,25
2.515625,139.89582276941775345121302652682467,11.367684503198470112232514262160399,25
2.53125,150.17289493396199858177907499075043,11.529797702262786477372433719958946,25
2.546875,161.29595227120020183579390912722761,11.692887258341834854540734537091223,25
2.5625,173.34051429098868227601976573708488,11.856946299445597419033482848267773,25
2.578125,186.38929446970205300071749463427763,12.021968402432504359193950055532342,25
2.59375,200.53292439414194297405280441806818,12.187947583195114756847040427398386,25
2.609375,215.87075439915416431785478979133607,12.35487828586203751911833751680869,26
2.625,232.51173913456821768467031102751967,12.52275537112929821523167719517804,26
2.640625,250.57541746430265217050960078404043,12.691574103831662591967883579060841,26
2.65625,270.19299718263949177239094130169855,12.861330139861154991483186081304435,26
2.671875,291.50855624387449622467702869817451,13.032019512536233270977176124481044,26
2.6875,314.68037355769836993938868474622189,13.203638618520873138930148809927165,26
2.703125,339.88240392167811430914298680611703,13.376184203388244006281997470594031,26
2.71875,367.30591336429254555520692663612776,13.549653346918792745710241791994763,27
2.734375,397.16129307992014931294655678067878,13.724043448217455211732657438072604,26
2.75,429.68007227669289785787780443188181,13.89935221072944845572805247190948,27
2.765625,465.11715265823755558219925337973055,14.075577627228715816360976731680436,26
2.78125,503.75328995379465537995499122610473,14.252717964847654874213981303054047,27
2.796875,545.89785093504777650591438724153161,14.430771750211302725860861043140287,27
2.8125,591.89187775403512219915791278214434,14.609737754733727869376632200081969,27
2.828125,642.1114952520275867842384761368772,14.789614980129022509230607446021298,27
2.84375,696.97170117770201598565060794346112,14.97040264418403822618697194350951,27
2.859375,756.93058407478964581899810555381051,15.152100166834892379595390560727677,27
2.875,822.49401902307320117243683566966681,15.334707156584318825477765357959831,27
2.890625,894.22089751961527168870725417804662,15.518223397292167065119751803453164,27
2.90625,972.72895465716323440995746012847106,15.702648835366787508723302139544892,27
2.921875,1058.7012644931917003169789325782745,15.887983567380692286327639618961568,28
2.9375,1152.8934832186657546708464359969207,16.07422782812976274932797172244226,27
2.953125,1256.1419295580599950610459450822652,16.261381979151395154556367778018245,28
2.96875,1369.372602906312077313101793172148,16.449446497713340820365150787373464,28
2.984375,1493.611252198589413449670899668621,16.638421966281609490856666830305198,28
3,1629.9946226015656510616479520762742,16.828309062472665580855976310672366,28
3.015625,1779.7830230221769332837390832838779,17.019108549492255128396384701328172,28
3.03125,1944.3743753921850343235335413849199,17.210821267060553509772632908102302,28
3.046875,2125.3199269777513763997938159630375,17.403448122820915491909170570106606,28
3.0625,2324.3418298934576486157255123474436,17.596990084227333808373039368655261,28
3.078125,2543.3528179232788075843510780038176,17.791448170903762743232275177747686,28
3.09375,2784.4782400690595691543630095131861,17.986823447466730777625293402469292,28
3.109375,3050.0807434177276135609568132588352,18.183117016801141960921565407653735,29
3.125,3342.7879354628472249963606110221917,18.380330013777839423622011414905102,29
3.140625,3665.523398527624701600725657655167,18.578463599400365970371139595675267,29
3.15625,4021.5414770912855666658095040180451,18.777518955367395245768020938942825,29
3.171875,4414.4663133895570125033229296098391,18.977497279036511599647685946277104,29
3.1875,4848.3356685216061409975978982591894,19.178399778774376434896096896642411,30
3.203125,5327.6501364526462233262841302836508,19.38022766967782244243698528082972,29
3.21875,5857.4284378974479621734735259103557,19.582982169650053749188309709757244,29
