x=1, n=16, |dx| = 0.5
i,p_i,q_i
6,8.7173103133239264941578791397284657960877917034974027643667106179e-5,5.5021970627471619535290355853049329517949307485693655705385938841e-7
7,1.1004394125500519213296528375754157518139107150360113038502156065e-6,3.4225932909915988075525640053649732298806527171038376419152643078e-21
relative error = 8.8045021029e-34

x=13, n=7, |dx| = 0.5
i,p_i,q_i
0,2.5922614871991320696796751033523686161286784154561220536887903998e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.4973667702827477271794546449885379379908945740166945082497839955e1,5.0024439651147693227519344994525442400902840061013172135751966974e-1
2,3.6933435034669578113975332941602128708064660790782099078410920113e0,1.0378246042197556582840387346032712646483451269491162100152510580e-1
3,5.0428426324642820020797905548695546850745997928298818767569747239e-1,1.1429902427954226498871264783432182400822444549043249550036870350e-2
4,4.1165789011219018049021696107436859129908448162184798079354832063e-2,7.0480708178204973935884906831118720976318398973843926385135287115e-4
5,2.0091840244740211158473032857637797702168569997481166406864949117e-3,2.3072427954923279382800297117830197166124071021369268630265644790e-5
6,5.4289769784167823535288860913775837570074145530610389804401866266e-5,3.1326591824329075120455510911870505956459678129765675974838659554e-7
7,6.2653183648668164827617533188922986695166863292474764448103254127e-7,5.0573493671689164818747385906956906380861737402610646767962902758e-22
relative error = 5.7920042896e-35

x=14, n=6, |dx| = 0.5
i,p_i,q_i
0,2.7928202258773167977178061301218682851202724856488693929351282708e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2584102492996521984160707030446229257864179015747919547276179747e1,3.7878988974191180347404846902095289920753226838936284860975571037e-1
2,2.3556378622321918847337015348256019646933809089204099299002739062e0,5.7163407661791935324579155754659530353090159495438807535192559223e-2
3,2.3448947218666181307991851012230393857976833661792482814958169555e-1,4.2960671660570238976270680890038858164960874908614974467887731349e-3
4,1.3091874851084634553663585514990054064012273508685114824426852781e-2,1.6079064828469312994028266122795886454217213843308981168653454564e-4
